      Lon      Lat    Year  FireRT
  -121.11    38.77    2037  1000.0
  -121.11    38.77    2038  1000.0
  -121.11    38.77    2039  1000.0
  -121.11    38.77    2040  1000.0
  -121.11    38.77    2041  1000.0
  -121.11    38.77    2042  1000.0
  -121.11    38.77    2043  1000.0
  -121.11    38.77    2044  1000.0
  -121.11    38.77    2045  1000.0
  -121.11    38.77    2046  1000.0
  -121.11    38.77    2047  1000.0
  -121.11    38.77    2048  1000.0
  -121.11    38.77    2049  1000.0
  -121.11    38.77    2050  1000.0
  -121.11    38.77    2051  1000.0
  -121.11    38.77    2052  1000.0
  -121.11    38.77    2053  1000.0
  -121.11    38.77    2054  1000.0
  -121.11    38.77    2055  1000.0
  -121.11    38.77    2056  1000.0
  -121.11    38.77    2057  1000.0
  -121.11    38.77    2058  1000.0
  -121.11    38.77    2059  1000.0
  -121.11    38.77    2060  1000.0
  -121.11    38.77    2061  1000.0
  -121.11    38.77    2062  1000.0
  -121.11    38.77    2063  1000.0
  -121.11    38.77    2064  1000.0
  -121.11    38.77    2065  1000.0
  -121.11    38.77    2066  1000.0
  -121.11    38.77    2067  1000.0
  -121.11    38.77    2068  1000.0
  -121.11    38.77    2069  1000.0
  -121.11    38.77    2070  1000.0
  -121.11    38.77    2071  1000.0
  -121.11    38.77    2072  1000.0
  -121.11    38.77    2073  1000.0
  -121.11    38.77    2074  1000.0
  -121.11    38.77    2075  1000.0
  -121.11    38.77    2076  1000.0
  -121.11    38.77    2077  1000.0
  -121.11    38.77    2078  1000.0
  -121.11    38.77    2079  1000.0
  -121.11    38.77    2080  1000.0
  -121.11    38.77    2081  1000.0
  -121.11    38.77    2082  1000.0
  -121.11    38.77    2083  1000.0
  -121.11    38.77    2084  1000.0
  -121.11    38.77    2085  1000.0
  -121.11    38.77    2086  1000.0
  -121.11    38.77    2087  1000.0
  -121.11    38.77    2088  1000.0
  -121.11    38.77    2089  1000.0
  -121.11    38.77    2090  1000.0
  -121.11    38.77    2091  1000.0
  -121.11    38.77    2092  1000.0
  -121.11    38.77    2093  1000.0
  -121.11    38.77    2094  1000.0
  -121.11    38.77    2095  1000.0
  -121.11    38.77    2096  1000.0
  -121.11    38.77    2097  1000.0
  -121.11    38.77    2098  1000.0
  -121.11    38.77    2099  1000.0
  -121.11    38.77    2100  1000.0
  -121.11    38.73    1950  1000.0
  -121.11    38.73    1951  1000.0
  -121.11    38.73    1952  1000.0
  -121.11    38.73    1953  1000.0
